id_jugador,Fecha,Rival,Local_Visitante,RvE_pct,nombre,tipo
4,2025-07-26,SAN LUIS,Local,147.181606031855,Alan Mozo,Bottom
4,2025-07-31,NEW YORK RB,Visitante,103.21579788005432,Alan Mozo,Bottom
4,2025-08-03,CHARLOTTE,Visitante,100.05450448901169,Alan Mozo,Bottom
4,2025-08-07,CINCINNATI,Visitante,250.0,Alan Mozo,Top
4,2025-08-10,SANTOS,Local,250.0,Alan Mozo,Top
4,2025-08-22,XOLOS,Visitante,240.89156202419187,Alan Mozo,Top
23,2025-07-19,LEON,Visitante,250.0,Alan Pulido,Bottom
23,2025-07-26,SAN LUIS,Local,250.0,Alan Pulido,Bottom
23,2025-08-16,C. JUAREZ,Local,50.34742955944268,Alan Pulido,Bottom
23,2025-07-19,LEON,Visitante,250.0,Alan Pulido,Top
23,2025-07-26,SAN LUIS,Local,250.0,Alan Pulido,Top
23,2025-07-31,NEW YORK RB,Visitante,250.0,Alan Pulido,Top
29,2025-08-03,CHARLOTTE,Visitante,58.29976588067895,Armando González,Bottom
29,2025-07-26,SAN LUIS,Local,41.22107304412752,Armando González,Bottom
29,2025-07-19,LEON,Visitante,5.819170790663095,Armando González,Bottom
29,2025-08-07,CINCINNATI,Visitante,250.0,Armando González,Top
29,2025-08-10,SANTOS,Visitante,250.0,Armando González,Top
29,2025-08-22,XOLOS,Visitante,250.0,Armando González,Top
7,2025-07-19,LEON,Visitante,179.44563275832263,Bryan González,Bottom
7,2025-07-26,SAN LUIS,Local,169.9998009274388,Bryan González,Bottom
7,2025-08-16,C. JUAREZ,Local,152.92419986960903,Bryan González,Bottom
7,2025-08-22,XOLOS,Visitante,246.2407619435874,Bryan González,Top
7,2025-08-10,SANTOS,Visitante,229.24691204790753,Bryan González,Top
7,2025-08-07,CINCINNATI,Visitante,220.93781771756912,Bryan González,Top
22,2025-07-31,NEW YORK RB,Visitante,101.75908986677888,Cade Cowell,Bottom
22,2025-08-10,SANTOS,Visitante,8.51606312082527,Cade Cowell,Bottom
22,2025-08-03,CHARLOTTE,Visitante,0.0,Cade Cowell,Bottom
22,2025-07-19,LEON,Visitante,250.0,Cade Cowell,Top
22,2025-08-22,XOLOS,Visitante,223.89941616820335,Cade Cowell,Top
22,2025-08-16,C. JUAREZ,Local,181.97377494628256,Cade Cowell,Top
19,2025-07-19,LEON,Visitante,250.0,Daniel Aguirre,Bottom
19,2025-07-26,SAN LUIS,Local,250.0,Daniel Aguirre,Bottom
19,2025-08-22,XOLOS,Visitante,114.61732113673895,Daniel Aguirre,Bottom
19,2025-07-19,LEON,Visitante,250.0,Daniel Aguirre,Top
19,2025-07-26,SAN LUIS,Local,250.0,Daniel Aguirre,Top
19,2025-07-31,NEW YORK RB,Visitante,250.0,Daniel Aguirre,Top
9,2025-07-26,SAN LUIS,Local,176.5661595345323,Diego Campillo,Bottom
9,2025-07-31,NEW YORK RB,Visitante,107.70451878925624,Diego Campillo,Bottom
9,2025-07-19,LEON,Visitante,50.62422681824344,Diego Campillo,Bottom
9,2025-08-07,CINCINNATI,Visitante,244.31550091675697,Diego Campillo,Top
9,2025-08-10,SANTOS,Visitante,239.26538192751417,Diego Campillo,Top
9,2025-08-03,CHARLOTTE,Visitante,225.77525178178382,Diego Campillo,Top
15,2025-07-26,SAN LUIS,Local,151.44963087985636,Efraín Álvarez,Bottom
15,2025-08-16,C. JUAREZ,Local,120.9967970299205,Efraín Álvarez,Bottom
15,2025-07-19,LEON,Visitante,85.73764061357595,Efraín Álvarez,Bottom
15,2025-08-07,CINCINNATI,Visitante,250.0,Efraín Álvarez,Top
